,Developer,Country,Notable games,selected_titles_series
309,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 302: The Tomb of Sammun-Mak
310,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 1: Fright of the Bumblebees
311,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 5 - The Vault of the Traveler
312,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 2 - Giant Consequences
313,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 4: A Block and a Hard Place
314,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 204: Chariots of the Dogs
315,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,CSI: 3 Dimensions of Murder
316,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 203: Night of the Raving Dead
317,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game - Episode 3: The Depths
318,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 3: The Last Place You Look
319,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 3: Long Road Ahead
320,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max Save the World
321,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay
322,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 2: The Last Resort
323,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 304: Beyond the Alley of the Dolls
324,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series
325,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 4: Amid The Ruins
326,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 3: More Than a Feeling
327,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 201: Ice Station Santa
328,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 5: Same Stitch
329,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal
330,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 5: A Nest of Vipers
331,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode
